Dataset_Name,diffusion_ver,Adaptor,lora_rank,clipi,clipt,num_train_steps,no_of_images,learning_rate,output_path,with_prior_preservation
clock,sdxl,krona,8,0.72802734375,0.32537841796875,800,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_2e-06_800_False,False
dog6,sdxl,krona,8,0.72900390625,0.3053605363175675,1000,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_2e-06_1000_False,False
dog2,sdxl,lora,8,0.7099609375,0.3100446428571428,800,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_2e-06_800_False,False
teapot,sdxl,krona,8,0.76123046875,0.3501302083333333,1200,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_2e-06_1200_False,False
dog2,sdxl,krona,8,0.71826171875,0.3103236607142857,800,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_2e-06_800_False,False
clock,sdxl,lora,8,0.72705078125,0.3187037876674107,400,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_5e-06_400_False,False
backpack,sdxl,lora,8,0.78076171875,0.3288153286637931,400,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_5e-06_400_False,False
backpack,sdxl,krona,8,0.759765625,0.3332940463362069,1000,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_2e-06_1000_False,False
cat,sdxl,lora,8,0.78564453125,0.328503838900862,1200,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_2e-06_1200_False,False
cat,sdxl,krona,8,0.765625,0.330945245150862,1200,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_2e-06_1200_False,False
teapot,sdxl,krona,8,0.76123046875,0.3511474609375,400,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_1e-06_400_False,False
clock,sdxl,krona,8,0.7255859375,0.3250906808035714,1000,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_2e-06_1000_False,False
cat,sdxl,lora,8,0.77392578125,0.3312904094827586,400,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_1e-06_400_False,False
cat,sdxl,krona,8,0.76953125,0.3306590113146552,400,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_1e-06_400_False,False
dog6,sdxl,krona,8,0.728515625,0.3049712309966216,1200,5,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_2e-06_1200_False,False
dog2,sdxl,lora,8,0.7119140625,0.3099434988839286,1000,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_2e-06_1000_False,False
dog2,sdxl,krona,8,0.71826171875,0.3108328683035714,1000,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_2e-06_1000_False,False
backpack,sdxl,krona,8,0.75537109375,0.3331004175646552,400,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_1e-06_400_False,False
dog6,sdxl,krona,8,0.72705078125,0.3056310705236486,400,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_1e-06_400_False,False
cat,sdxl,krona,8,0.76611328125,0.3313830145474138,800,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_1e-06_800_False,False
teapot,sdxl,krona,8,0.759765625,0.3507405598958333,1000,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_1e-06_1000_False,False
clock,sdxl,krona,8,0.72265625,0.3261805943080357,1200,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_2e-06_1200_False,False
cat,sdxl,lora,8,0.7802734375,0.329901333512931,1000,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_1e-06_1000_False,False
backpack,sdxl,krona,8,0.75634765625,0.3343127020474138,800,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_1e-06_800_False,False
dog6,sdxl,krona,8,0.72705078125,0.3055320945945945,800,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_1e-06_800_False,False
clock,sdxl,lora,8,0.73193359375,0.3141828264508928,800,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_5e-06_800_False,False
backpack,sdxl,lora,8,0.7900390625,0.3340264682112069,800,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_5e-06_800_False,False
dog2,sdxl,lora,8,0.7138671875,0.3099679129464285,1200,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_2e-06_1200_False,False
dog2,sdxl,krona,8,0.7177734375,0.3119349888392857,1200,6,2e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_2e-06_1200_False,False
clock,sdxl,krona,8,0.72998046875,0.3244803292410714,400,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_1e-06_400_False,False
cat,sdxl,krona,8,0.7646484375,0.3301875673491379,1000,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_1e-06_1000_False,False
teapot,sdxl,krona,8,0.77490234375,0.3495361328125,400,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_5e-05_400_False,False
dog2,sdxl,lora,8,0.7158203125,0.3116141183035714,400,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_1e-06_400_False,False
dog6,base,lora,8,0.7958984375,0.2760669605152027,1000,5,0.0001,/home/btech/ayush.singh/outputs_base/dog6/lora_base_8_0.0001_1000_False,False
teapot,base,lora,8,0.79736328125,0.3246826171875,1000,5,0.0001,/home/btech/ayush.singh/outputs_base/teapot/lora_base_8_0.0001_1000_False,False
dog2,sdxl,krona,8,0.7158203125,0.3101492745535714,400,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_1e-06_400_False,False
dog6,sdxl,krona,8,0.7275390625,0.3054331186655405,1000,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_1e-06_1000_False,False
cat,sdxl,lora,8,0.78125,0.3278135102370689,1200,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_1e-06_1200_False,False
backpack,sdxl,krona,8,0.75830078125,0.3364847117456896,1000,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_1e-06_1000_False,False
clock,sdxl,krona,8,0.732421875,0.3233119419642857,800,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_1e-06_800_False,False
teapot,sdxl,krona,8,0.78271484375,0.3499348958333333,800,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_5e-05_800_False,False
cat,sdxl,krona,8,0.765625,0.3307431977370689,1200,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_1e-06_1200_False,False
cat,sdxl,lora,8,0.86083984375,0.3165704135237069,400,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_5e-05_400_False,False
dog2,sdxl,lora,8,0.7109375,0.3105259486607143,800,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_1e-06_800_False,False
dog2,sdxl,krona,8,0.71826171875,0.3097377232142857,800,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_1e-06_800_False,False
cat,sdxl,krona,8,0.7841796875,0.3293120285560345,400,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_5e-05_400_False,False
dog6,sdxl,krona,8,0.7275390625,0.3053803315033784,1200,5,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_1e-06_1200_False,False
teapot,sdxl,krona,8,0.779296875,0.3451985677083333,1000,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_5e-05_1000_False,False
cat,sdxl,lora,8,0.8623046875,0.3132071659482758,800,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_5e-05_800_False,False
clock,sdxl,krona,8,0.73095703125,0.3239222935267857,1000,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_1e-06_1000_False,False
backpack,sdxl,krona,8,0.7607421875,0.3346662850215517,1200,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_1e-06_1200_False,False
clock,sdxl,lora,8,0.74267578125,0.3126613071986607,1000,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/clock/lora_sdxl_8_5e-06_1000_False,False
backpack,sdxl,lora,8,0.79736328125,0.3309368265086206,1000,6,5e-06,/home/btech/ayush.singh/outputs_sdxl/backpack/lora_sdxl_8_5e-06_1000_False,False
dog6,sdxl,krona,8,0.73974609375,0.3087257179054054,400,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_5e-05_400_False,False
dog2,sdxl,lora,8,0.70458984375,0.3103097098214286,1000,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/lora_sdxl_8_1e-06_1000_False,False
cat,sdxl,krona,8,0.79931640625,0.3263486664870689,800,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/cat/krona_sdxl_8_5e-05_800_False,False
dog2,sdxl,krona,8,0.71826171875,0.310205078125,1000,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/dog2/krona_sdxl_8_1e-06_1000_False,False
backpack,sdxl,krona,8,0.77685546875,0.3340938173491379,400,6,5e-05,/home/btech/ayush.singh/outputs_sdxl/backpack/krona_sdxl_8_5e-05_400_False,False
teapot,sdxl,krona,8,0.75927734375,0.34814453125,400,5,2e-05,/home/btech/ayush.singh/outputs_sdxl/teapot/krona_sdxl_8_2e-05_400_False,False
clock,base,lora,8,0.7978515625,0.2928118024553571,1000,6,0.0001,/home/btech/ayush.singh/outputs_base/clock/lora_base_8_0.0001_1000_False,False
cat,sdxl,lora,8,0.87109375,0.3111572265625,1000,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/cat/lora_sdxl_8_5e-05_1000_False,False
dog6,sdxl,krona,8,0.75927734375,0.3056706608952703,800,5,5e-05,/home/btech/ayush.singh/outputs_sdxl/dog6/krona_sdxl_8_5e-05_800_False,False
clock,sdxl,krona,8,0.72802734375,0.3245588030133928,1200,6,1e-06,/home/btech/ayush.singh/outputs_sdxl/clock/krona_sdxl_8_1e-06_1200_False,False
